Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Amrutahalli,"11,90,336","11,65,970","8,95,941","5,82,625","5,76,629","3,83,694",98.0%,76.8%,65.0%,99.0%,"1,92,854",33.4%,20.6%,12.7%,32.2%,"₹6,10,92,514",8.65,₹159.22,"33,20,240"
Konena Agrahara,"14,42,790","13,97,576","12,04,922","5,88,675","5,83,352","3,79,032",96.9%,86.2%,48.9%,99.1%,"2,04,227",35.0%,20.9%,14.0%,26.3%,"₹5,82,46,194",8.10,₹153.67,"30,69,334"
Konanakunte,"11,00,819","10,85,945","8,00,787","5,77,745","5,70,209","3,76,977",98.6%,73.7%,72.1%,98.7%,"1,93,159",33.9%,20.2%,13.5%,34.2%,"₹4,92,58,153",6.84,₹130.67,"25,77,577"
Lal Bahadur Nagar,"12,34,601","12,06,640","9,36,788","5,54,125","5,48,761","3,74,615",97.7%,77.6%,59.2%,99.0%,"1,74,056",31.7%,19.7%,11.9%,30.3%,"₹5,25,74,741",7.33,₹140.34,"27,46,164"
Sunkenahalli,"9,84,146","9,69,794","7,48,652","5,35,264","5,28,788","3,71,751",98.5%,77.2%,71.5%,98.8%,"1,56,981",29.7%,16.2%,13.4%,37.8%,"₹4,55,16,109",6.45,₹122.44,"23,99,363"
Jalakanteshwara Nagara,"13,66,037","13,21,587","11,37,539","5,19,747","5,15,983","3,56,666",96.7%,86.1%,45.7%,99.3%,"1,59,244",30.9%,19.0%,11.8%,26.1%,"₹5,27,40,705",7.72,₹147.87,"27,52,560"
Radhakrishna Temple Ward,"8,82,889","8,71,129","6,77,807","5,06,176","4,98,856","3,52,356",98.7%,77.8%,74.7%,98.6%,"1,46,414",29.3%,16.8%,12.4%,39.9%,"₹4,89,97,485",7.40,₹139.06,"26,08,434"
Devasandra,"12,75,182","12,45,448","10,23,191","5,77,454","5,71,946","3,51,886",97.7%,82.2%,56.4%,99.0%,"2,19,977",38.5%,23.2%,15.1%,27.6%,"₹5,80,42,913",8.55,₹164.95,"30,08,064"
Maruthi Seva Nagar,"10,58,064","10,36,132","8,51,693","5,22,549","5,18,313","3,42,723",97.9%,82.2%,61.4%,99.2%,"1,75,508",33.9%,20.3%,13.5%,32.4%,"₹4,62,87,821",7.05,₹135.06,"24,14,658"
Nagapura,"8,51,478","8,43,950","5,81,810","4,79,923","4,73,734","3,30,530",99.1%,68.9%,82.5%,98.7%,"1,43,151",30.2%,15.8%,14.3%,38.8%,"₹4,27,80,538",6.88,₹129.43,"22,73,032"
Sanjaya Nagar,"9,36,313","9,22,308","6,98,856","4,78,409","4,72,474","3,29,551",98.5%,75.8%,68.5%,98.8%,"1,42,843",30.2%,18.2%,11.9%,35.2%,"₹4,72,93,661",7.74,₹143.51,"25,50,285"
Kacharkanahalli,"9,57,319","9,41,810","7,54,942","4,78,860","4,75,010","3,18,121",98.4%,80.2%,63.4%,99.2%,"1,56,808",33.0%,19.8%,13.1%,33.2%,"₹4,01,83,883",6.56,₹126.32,"20,88,006"
